                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4576,                 3.5409,                 1.6792,                0.01947,                   0.55,                0.13137,                0.04242,                 1.3439,                 3.5615,                 2.1099,                      0,                      0,                      0
                      2,                  1.525,                 3.5271,                 1.6964,                0.02098,                  0.575,                 0.1527,                0.04612,                 1.3352,                 3.5586,                 2.0848,              1.056e-05,              1.056e-05,              1.056e-05
                      3,                 1.4572,                 3.4624,                 1.6775,                0.02251,                    0.6,                0.12057,                0.04402,                 1.3249,                 3.5561,                  2.042,              2.002e-05,              2.002e-05,              2.002e-05
                      4,                 1.3455,                   3.47,                 1.6062,                0.02485,                  0.675,                0.14706,                0.05148,                 1.3013,                 3.5484,                 1.9686,              2.838e-05,              2.838e-05,              2.838e-05
                      5,                 1.3084,                 3.5131,                  1.561,                0.02543,                  0.725,                 0.1552,                0.05814,                 1.2749,                 3.5207,                 1.8916,             3.5641e-05,             3.5641e-05,             3.5641e-05
                      6,                 1.2384,                 3.4048,                  1.522,                0.02509,                  0.725,                0.22683,                   0.08,                 1.2273,                 3.4935,                 1.7949,             4.1801e-05,             4.1801e-05,             4.1801e-05
                      7,                 1.1496,                 3.3747,                 1.4529,                0.02824,                  0.775,                0.26229,                0.10732,                  1.179,                 3.4653,                 1.6943,             4.6862e-05,             4.6862e-05,             4.6862e-05
                      8,                 1.0705,                 3.3083,                 1.4252,                0.02929,                    0.8,                0.35207,                 0.1712,                 1.0804,                 3.4207,                 1.5927,             5.0823e-05,             5.0823e-05,             5.0823e-05
                      9,                 1.0012,                 3.3079,                 1.3353,                0.02813,                    0.8,                 0.4912,                0.27244,                0.98122,                  3.374,                 1.4557,             5.3684e-05,             5.3684e-05,             5.3684e-05
                     10,                0.85167,                 3.2724,                 1.2522,                0.02782,                    0.8,                0.54217,                 0.3376,                0.91773,                 3.3408,                 1.3707,             5.5444e-05,             5.5444e-05,             5.5444e-05
                     11,                0.90748,                  3.194,                 1.2442,                0.02723,                    0.8,                0.61073,                0.40138,                0.84126,                  3.295,                 1.2668,             5.6106e-05,             5.6106e-05,             5.6106e-05
                     12,                0.85857,                 3.1607,                 1.2247,                0.02712,                    0.8,                0.57542,                0.42171,                  0.781,                 3.2726,                 1.2013,             5.5667e-05,             5.5667e-05,             5.5667e-05
                     13,                0.75832,                 3.0317,                 1.1757,                0.02647,                    0.8,                0.60049,                 0.4752,                0.72755,                  3.236,                 1.1359,             5.4128e-05,             5.4128e-05,             5.4128e-05
                     14,                0.71536,                 3.0073,                 1.1063,                0.02678,                    0.8,                0.60159,                0.47248,                0.69126,                 3.2226,                 1.1086,             5.1489e-05,             5.1489e-05,             5.1489e-05
                     15,                 0.7121,                 2.9622,                 1.0929,                0.02621,                    0.8,                 0.6005,                0.49167,                 0.6812,                 3.2189,                 1.0984,             4.7751e-05,             4.7751e-05,             4.7751e-05
                     16,                 0.6649,                 2.8734,                 1.0859,                0.02615,                    0.8,                 0.6102,                0.51042,                0.67039,                 3.2154,                 1.0857,             4.2912e-05,             4.2912e-05,             4.2912e-05
                     17,                0.67677,                 2.7727,                 1.0843,                0.02604,                    0.8,                0.60588,                0.50702,                0.65572,                 3.2062,                 1.0699,             3.6974e-05,             3.6974e-05,             3.6974e-05
                     18,                0.60371,                 2.6836,                 1.0552,                0.02604,                    0.8,                0.60588,                0.50702,                0.65572,                 3.2062,                 1.0699,             2.9936e-05,             2.9936e-05,             2.9936e-05
                     19,                0.64373,                  2.719,                  1.057,                0.02579,                    0.8,                0.61708,                0.51704,                0.64013,                 3.1967,                 1.0635,             2.1798e-05,             2.1798e-05,             2.1798e-05
                     20,                0.60857,                 2.7149,                 1.0394,                0.02579,                    0.8,                0.61708,                0.51704,                0.64013,                 3.1967,                 1.0635,              1.256e-05,              1.256e-05,              1.256e-05
